// ----------------------------------------------------\\
//        Hospedagem feita por Rodrigo                 \\
// 						       \\
// File  Name : MuServer1.02nSeason2+ Viciados         \\
// ViciadosMU: wWw.ViciadosMu.com.br                   \\
// Creditos: shop@viciadosmu.com.br | skype viciadosmu \\
// Disponibilizamos para ajudar a todos                \\
// Compre produtos ou jogue em nossos servidores       \\
// Shop ViciadosMu: wWw.Shop.ViciadosMu.com.br         \\
// --------------------------------------------------- \\
//==========================================================================
//Project: NaMEch
//Sources: NaM4 
//Re-Struct & Fixes: Echy-
//Information: Spots de Mobs
//=========================================================================

// 0 - Guardias / NPC / Trampas
// 1 - Spots
// 2 - Mobs normales
// 3 - Bone King / Dorados
// 4 - Blood Castle Mobs / Gates / Otros

//=========================================================================================
//======================================= Invasion Dorados =================================
//=========================================================================================
//Mob	Map	Radio	CordX	CordY	CordX2	CordY2	Dir 	Quant  Name	
3
43	3	30	10	10	240	240	-1	2	// Golden Budge Dragon
44	0	30	182	128	195	145	-1	3	// Golden Dragon
53	0	30	185	132	185	132	-1	1	// Golden Titan
55	0	30	132	83	132	83	-1	1	// Death King
54	0	30	183	128	188	135	-1	3	// Golden Soldier
56	0	30	132	83	138	90	-1	5	// Death Bone
78	0	30	10	10	240	240	-1	4	// Golden Goblin
79	0	30	10	10	240	240	-1	3	// Golden Dragon
80	0	30	185	132	185	132	-1	3	// Golden Lizard King
81	0	30	132	83	132	83	-1	5	// Golden Vepar
82	0	30	183	128	188	135	-1	2	// Golden Tantallos
83	0	30	132	83	138	90	-1	8	// Golden Iron Wheel
end

//=========================================================================================						
//================================= Lorencia NPCs - ======================================						
//=========================================================================================						
//Mob	Map	Rad	X	Y	Str	Name
0
247	0	0	146	129	2	// NPC Reset Guard
36	4	30	204	87	-1	//Shadow
36	4	30	204	88	-1	//Shadow
36	4	30	204	88	-1	//Shadow
36	4	30	210	32	-1	//Shadow
36	4	30	194	23	-1	//Shadow
36	4	30	204	15	-1	//Shadow
36	4	30	236	44	-1	//Shadow
36	4	30	235	98	-1	//Shadow
36	4	30	222	109	-1	//Shadow
36	4	30	218	87	-1	//Shadow
36	4	30	228	91	-1	//Shadow
36	4	30	244	15	-1	//Shadow
36	4	30	228	7	-1	//Shadow
36	4	30	202	25	-1	//Shadow
36	4	30	195	40	-1	//Shadow
36	4	30	190	59	-1	//Shadow
36	4	30	197	64	-1	//Shadow
36	4	30	244	72	-1	//Shadow
36	4	30	244	100	-1	//Shadow
36	4	30	245	117	-1	//Shadow
36	4	30	219	117	-1	//Shadow
36	4	30	209	107	-1	//Shadow
36	4	30	201	113	-1	//Shadow
36	4	30	212	87	-1	//Shadow
37	4	30	104	136	-1	//Devil
37	4	30	133	87	-1	//Devil
37	4	30	96	116	-1	//Devil
37	4	30	94	100	-1	//Devil
37	4	30	89	135	-1	//Devil
37	4	30	133	98	-1	//Devil
37	4	30	112	87	-1	//Devil
37	4	30	133	109	-1	//Devil
37	4	30	121	119	-1	//Devil
37	4	30	123	130	-1	//Devil
37	4	30	87	7	-1	//Devil
37	4	30	97	6	-1	//Devil
37	4	30	124	11	-1	//Devil
37	4	30	133	26	-1	//Devil
37	4	30	134	37	-1	//Devil
37	4	30	134	49	-1	//Devil
37	4	30	115	53	-1	//Devil
37	4	30	98	54	-1	//Devil
37	4	30	84	54	-1	//Devil
37	4	30	93	41	-1	//Devil
37	4	30	99	40	-1	//Devil
37	4	30	101	29	-1	//Devil
37	4	30	98	17	-1	//Devil
37	4	30	112	16	-1	//Devil
37	4	30	124	41	-1	//Devil
37	4	30	111	39	-1	//Devil
37	4	30	39	11	-1	//Devil
37	4	30	14	24	-1	//Devil
37	4	30	53	39	-1	//Devil
37	4	30	7	52	-1	//Devil
37	4	30	25	49	-1	//Devil
37	4	30	30	32	-1	//Devil
37	4	30	38	201	-1	//Devil
37	4	30	18	200	-1	//Devil
37	4	30	13	191	-1	//Devil
37	4	30	38	192	-1	//Devil
37	4	30	89	119	-1	//Devil
37	4	30	86	100	-1	//Devil
37	4	30	108	116	-1	//Devil
37	4	30	126	108	-1	//Devil
37	4	30	86	26	-1	//Devil
37	4	30	111	26	-1	//Devil
37	4	30	48	17	-1	//Devil
37	4	30	13	9	-1	//Devil
37	4	30	16	41	-1	//Devil
37	4	30	38	53	-1	//Devil
37	4	30	54	51	-1	//Devil
37	4	30	45	32	-1	//Devil
37	4	30	25	86	-1	//Devil
37	4	30	52	92	-1	//Devil
37	4	30	30	102	-1	//Devil
37	4	30	110	100	-1	//Devil
37	4	30	128	6	-1	//Devil
37	4	30	26	108	-1	//Devil
38	4	30	31	212	-1	//Balrog
38	4	30	28	212	-1	//Balrog
39	4	30	243	125	-1	//Poison Shadow
39	4	30	245	109	-1	//Poison Shadow
39	4	30	219	6	-1	//Poison Shadow
39	4	30	244	53	-1	//Poison Shadow
39	4	30	239	7	-1	//Poison Shadow
39	4	30	244	25	-1	//Poison Shadow
39	4	30	243	40	-1	//Poison Shadow
39	4	30	243	65	-1	//Poison Shadow
39	4	30	244	82	-1	//Poison Shadow
39	4	30	244	92	-1	//Poison Shadow
39	4	30	210	23	-1	//Poison Shadow
39	4	30	226	22	-1	//Poison Shadow
39	4	30	227	33	-1	//Poison Shadow
39	4	30	227	54	-1	//Poison Shadow
39	4	30	228	67	-1	//Poison Shadow
39	4	30	228	81	-1	//Poison Shadow
39	4	30	228	104	-1	//Poison Shadow
39	4	30	191	16	-1	//Poison Shadow
39	4	30	220	79	-1	//Poison Shadow
39	4	30	219	60	-1	//Poison Shadow
39	4	30	219	45	-1	//Poison Shadow
39	4	30	219	34	-1	//Poison Shadow
39	4	30	202	38	-1	//Poison Shadow
39	4	30	208	166	-1	//Poison Shadow
39	4	30	196	166	-1	//Poison Shadow
39	4	30	188	165	-1	//Poison Shadow
39	4	30	179	165	-1	//Poison Shadow
39	4	30	165	183	-1	//Poison Shadow
39	4	30	167	211	-1	//Poison Shadow
39	4	30	165	241	-1	//Poison Shadow
39	4	30	184	246	-1	//Poison Shadow
39	4	30	200	245	-1	//Poison Shadow
39	4	30	214	245	-1	//Poison Shadow
39	4	30	228	245	-1	//Poison Shadow
39	4	30	245	246	-1	//Poison Shadow
39	4	30	198	184	-1	//Poison Shadow
39	4	30	217	196	-1	//Poison Shadow
39	4	30	227	212	-1	//Poison Shadow
39	4	30	217	217	-1	//Poison Shadow
39	4	30	201	216	-1	//Poison Shadow
39	4	30	191	238	-1	//Poison Shadow
39	4	30	193	217	-1	//Poison Shadow
39	4	30	178	224	-1	//Poison Shadow
39	4	30	178	210	-1	//Poison Shadow
39	4	30	177	195	-1	//Poison Shadow
39	4	30	226	166	-1	//Poison Shadow
39	4	30	239	167	-1	//Poison Shadow
39	4	30	227	175	-1	//Poison Shadow
39	4	30	239	174	-1	//Poison Shadow
39	4	30	245	179	-1	//Poison Shadow
39	4	30	245	189	-1	//Poison Shadow
39	4	30	245	200	-1	//Poison Shadow
39	4	30	246	212	-1	//Poison Shadow
39	4	30	245	224	-1	//Poison Shadow
39	4	30	237	226	-1	//Poison Shadow
39	4	30	236	220	-1	//Poison Shadow
39	4	30	238	208	-1	//Poison Shadow
39	4	30	237	201	-1	//Poison Shadow
39	4	30	232	196	-1	//Poison Shadow
39	4	30	238	184	-1	//Poison Shadow
39	4	30	224	185	-1	//Poison Shadow
39	4	30	216	183	-1	//Poison Shadow
39	4	30	207	178	-1	//Poison Shadow
39	4	30	196	176	-1	//Poison Shadow
39	4	30	187	192	-1	//Poison Shadow
39	4	30	185	201	-1	//Poison Shadow
39	4	30	187	209	-1	//Poison Shadow
39	4	30	185	220	-1	//Poison Shadow
39	4	30	175	217	-1	//Poison Shadow
39	4	30	176	245	-1	//Poison Shadow
39	4	30	206	244	-1	//Poison Shadow
39	4	30	215	209	-1	//Poison Shadow
39	4	30	184	173	-1	//Poison Shadow
39	4	30	172	188	-1	//Poison Shadow
39	4	30	173	171	-1	//Poison Shadow
39	4	30	206	200	-1	//Poison Shadow
39	4	30	218	229	-1	//Poison Shadow
39	4	30	195	32	-1	//Poison Shadow
39	4	30	189	38	-1	//Poison Shadow
39	4	30	189	48	-1	//Poison Shadow
39	4	30	196	54	-1	//Poison Shadow
39	4	30	203	50	-1	//Poison Shadow
39	4	30	236	127	-1	//Poison Shadow
39	4	30	196	207	-1	//Poison Shadow
39	4	30	195	200	-1	//Poison Shadow
39	4	30	230	229	-1	//Poison Shadow
39	4	30	173	227	-1	//Poison Shadow			
39	4	30	183	233	-1	//Poison Shadow			
39	4	30	173	237	-1	//Poison Shadow			
40	4	30	30	183	-1	//Death Knight
40	4	30	54	213	-1	//Death Knight
40	4	30	117	8	-1	//Death Knight
40	4	30	123	54	-1	//Death Knight
40	4	30	86	41	-1	//Death Knight
40	4	30	98	24	-1	//Death Knight
40	4	30	115	28	-1	//Death Knight
40	4	30	55	15	-1	//Death Knight
40	4	30	46	13	-1	//Death Knight
40	4	30	22	17	-1	//Death Knight
40	4	30	10	41	-1	//Death Knight
40	4	30	15	54	-1	//Death Knight
40	4	30	38	48	-1	//Death Knight
40	4	30	48	48	-1	//Death Knight
40	4	30	41	57	-1	//Death Knight
40	4	30	55	28	-1	//Death Knight
40	4	30	22	30	-1	//Death Knight
40	4	30	39	38	-1	//Death Knight
40	4	30	6	98	-1	//Death Knight
40	4	30	33	86	-1	//Death Knight
40	4	30	46	86	-1	//Death Knight
40	4	30	55	87	-1	//Death Knight
40	4	30	53	97	-1	//Death Knight
40	4	30	35	98	-1	//Death Knight
40	4	30	25	98	-1	//Death Knight
40	4	30	8	107	-1	//Death Knight
40	4	30	53	116	-1	//Death Knight
40	4	30	41	121	-1	//Death Knight
40	4	30	25	135	-1	//Death Knight
40	4	30	42	135	-1	//Death Knight
40	4	30	52	135	-1	//Death Knight
40	4	30	38	227	-1	//Death Knight
40	4	30	51	183	-1	//Death Knight
40	4	30	24	189	-1	//Death Knight
40	4	30	48	167	-1	//Death Knight
40	4	30	41	167	-1	//Death Knight
40	4	30	103	8	-1	//Death Knight
40	4	30	127	34	-1	//Death Knight
40	4	30	130	48	-1	//Death Knight
40	4	30	105	55	-1	//Death Knight
40	4	30	84	16	-1	//Death Knight
40	4	30	124	24	-1	//Death Knight
40	4	30	46	208	-1	//Death Knight
40	4	30	18	183	-1	//Death Knight
40	4	30	14	224	-1	//Death Knight
40	4	30	7	240	-1	//Death Knight
40	4	30	48	232	-1	//Death Knight
40	4	30	48	215	-1	//Death Knight
40	4	30	49	191	-1	//Death Knight
40	4	30	48	174	-1	//Death Knight
40	4	30	23	239	-1	//Death Knight
40	4	30	11	168	-1	//Death Knight
40	4	30	4	177	-1	//Death Knight
40	4	30	47	247	-1	//Death Knight
40	4	30	19	86	-1	//Death Knight
40	4	30	15	119	-1	//Death Knight
40	4	30	24	9	-1	//Death Knight
40	4	30	30	17	-1	//Death Knight
40	4	30	110	8	-1	//Death Knight
40	4	30	134	8	-1	//Death Knight
40	4	30	135	17	-1	//Death Knight
40	4	30	111	46	-1	//Death Knight
40	4	30	99	48	-1	//Death Knight
40	4	30	85	49	-1	//Death Knight
40	4	30	91	56	-1	//Death Knight
41	4	30	126	246	-1	//Death Cow
41	4	30	133	235	-1	//Death Cow
41	4	30	133	225	-1	//Death Cow
41	4	30	133	209	-1	//Death Cow
41	4	30	125	189	-1	//Death Cow
41	4	30	128	175	-1	//Death Cow
41	4	30	129	167	-1	//Death Cow
41	4	30	97	184	-1	//Death Cow
41	4	30	107	168	-1	//Death Cow
41	4	30	89	174	-1	//Death Cow
41	4	30	83	183	-1	//Death Cow
41	4	30	83	201	-1	//Death Cow
41	4	30	83	213	-1	//Death Cow
41	4	30	89	224	-1	//Death Cow
41	4	30	86	245	-1	//Death Cow
41	4	30	108	245	-1	//Death Cow
41	4	30	116	244	-1	//Death Cow
41	4	30	118	229	-1	//Death Cow
41	4	30	116	211	-1	//Death Cow
41	4	30	111	194	-1	//Death Cow
41	4	30	115	178	-1	//Death Cow
41	4	30	97	202	-1	//Death Cow
41	4	30	97	214	-1	//Death Cow
41	4	30	102	225	-1	//Death Cow
41	4	30	98	236	-1	//Death Cow
41	4	30	116	134	-1	//Death Cow
41	4	30	97	133	-1	//Death Cow
41	4	30	85	132	-1	//Death Cow
41	4	30	85	116	-1	//Death Cow
41	4	30	85	96	-1	//Death Cow
41	4	30	101	87	-1	//Death Cow
41	4	30	118	89	-1	//Death Cow
41	4	30	116	113	-1	//Death Cow
41	4	30	133	115	-1	//Death Cow
41	4	30	124	136	-1	//Death Cow
41	4	30	106	112	-1	//Death Cow
41	4	30	95	106	-1	//Death Cow
41	4	30	104	183	-1	//Death Cow
41	4	30	86	109	-1	//Death Cow
41	4	30	96	86	-1	//Death Cow
41	4	30	128	86	-1	//Death Cow
41	4	30	122	101	-1	//Death Cow
41	4	30	101	100	-1	//Death Cow
41	4	30	86	125	-1	//Death Cow
41	4	30	132	124	-1	//Death Cow
41	4	30	103	197	-1	//Death Cow
41	4	30	97	196	-1	//Death Cow
41	4	30	115	199	-1	//Death Cow
41	4	30	135	174	-1	//Death Cow
41	4	30	122	167	-1	//Death Cow
41	4	30	101	168	-1	//Death Cow
end

//=========================================================================================										
//=================== Stadium Mobs - cercados - ======================================										
//=========================================================================================										
//Mob	Map	Radio	CordX	CordY	CordX2	CordY2	Dir	Quant	Name	

1										
88	6	10	76	113	84	113	-1	15	//Spirit Knight
90	6	10	18	112	39	114	-1	15	//King Orc
86	6	10	18	112	39	114	-1	15	//Spirit Soldier
95	6	0	68	100	71	100	-1	15	//
150	6	10	42	69	52	96	-1	20	//Bali
151	6	10	61	65	71	83	-1	20	//Soldier
164	6	10	43	52	52	61	-1	20	//Chaos Castle 3
45	6	10	42	34	52	43	-1	15	//
52	6	10	25	34	34	43	-1	15	//
171	6	10	25	53	34	61	-1	20	//
179	6	10	25	70	34	74	-1	15	//
192	6	10	25	87	34	96	-1	20	//
50	6	10	8	86	17	96	-1	35	//
180	6	10	7	70	15	79	-1	15	//
301	6	10	7	52	15	61	-1	20	//
302	6	10	8	34	15	43	-1	20	//
130	6	10	7	24	17	32	-1	15	//
60	6	10	53	26	70	35	-1	25	//
91	6	10	92	111	98	117	-1	15	//
171	6	10	80	83	79	94	-1	15	//
end


//=========================================================================================							
//=================== Atlans Mobs - ======================================							
//=========================================================================================							
2							
45	7	30	21	41	-1	//Bahamut
45	7	30	23	33	-1	//Bahamut
45	7	30	31	31	-1	//Bahamut
45	7	30	39	23	-1	//Bahamut
45	7	30	41	11	-1	//Bahamut
45	7	30	21	48	-1	//Bahamut
45	7	30	47	41	-1	//Bahamut
45	7	30	39	63	-1	//Bahamut
45	7	30	72	42	-1	//Bahamut
45	7	30	23	56	-1	//Bahamut
45	7	30	23	64	-1	//Bahamut
45	7	30	35	70	-1	//Bahamut
45	7	30	29	75	-1	//Bahamut
45	7	30	62	21	-1	//Bahamut
45	7	30	78	19	-1	//Bahamut
45	7	30	67	36	-1	//Bahamut
45	7	30	24	86	-1	//Bahamut
45	7	30	48	57	-1	//Bahamut
45	7	30	45	70	-1	//Bahamut
45	7	30	19	125	-1	//Bahamut
45	7	30	49	8	-1	//Bahamut
45	7	30	46	20	-1	//Bahamut
45	7	30	39	35	-1	//Bahamut
45	7	30	37	50	-1	//Bahamut
45	7	30	20	75	-1	//Bahamut
45	7	30	63	44	-1	//Bahamut
45	7	30	68	52	-1	//Bahamut
45	7	30	49	64	-1	//Bahamut
45	7	30	29	52	-1	//Bahamut
46	7	30	46	21	-1	//Vepar
46	7	30	48	9	-1	//Vepar
46	7	30	50	65	-1	//Vepar
46	7	30	51	70	-1	//Vepar
46	7	30	80	33	-1	//Vepar
46	7	30	62	17	-1	//Vepar
46	7	30	61	11	-1	//Vepar
46	7	30	69	19	-1	//Vepar
46	7	30	75	15	-1	//Vepar
46	7	30	83	15	-1	//Vepar
46	7	30	84	21	-1	//Vepar
46	7	30	67	27	-1	//Vepar
46	7	30	59	34	-1	//Vepar
46	7	30	86	37	-1	//Vepar
46	7	30	78	44	-1	//Vepar
46	7	30	71	52	-1	//Vepar
46	7	30	65	59	-1	//Vepar
46	7	30	65	51	-1	//Vepar
46	7	30	55	44	-1	//Vepar
46	7	30	40	48	-1	//Vepar
46	7	30	31	53	-1	//Vepar
46	7	30	24	90	-1	//Vepar
46	7	30	21	100	-1	//Vepar
46	7	30	25	105	-1	//Vepar
46	7	30	30	110	-1	//Vepar
46	7	30	21	118	-1	//Vepar
46	7	30	38	117	-1	//Vepar
46	7	30	141	11	-1	//Vepar
46	7	30	127	17	-1	//Vepar
46	7	30	114	26	-1	//Vepar
46	7	30	107	18	-1	//Vepar
46	7	30	104	13	-1	//Vepar
46	7	30	115	12	-1	//Vepar
46	7	30	89	62	-1	//Vepar
46	7	30	75	76	-1	//Vepar
46	7	30	69	87	-1	//Vepar
46	7	30	50	93	-1	//Vepar
46	7	30	23	72	-1	//Vepar
46	7	30	78	23	-1	//Vepar
46	7	30	70	38	-1	//Vepar
46	7	30	55	25	-1	//Vepar
46	7	30	30	122	-1	//Vepar
46	7	30	17	126	-1	//Vepar
46	7	30	122	29	-1	//Vepar
46	7	30	108	40	-1	//Vepar
47	7	30	41	109	-1	//Valkyrie
47	7	30	49	100	-1	//Valkyrie
47	7	30	54	89	-1	//Valkyrie
47	7	30	62	87	-1	//Valkyrie
47	7	30	71	82	-1	//Valkyrie
47	7	30	79	70	-1	//Valkyrie
47	7	30	85	64	-1	//Valkyrie
47	7	30	94	60	-1	//Valkyrie
47	7	30	101	50	-1	//Valkyrie
47	7	30	106	48	-1	//Valkyrie
47	7	30	112	45	-1	//Valkyrie
47	7	30	109	38	-1	//Valkyrie
47	7	30	118	37	-1	//Valkyrie
47	7	30	122	29	-1	//Valkyrie
47	7	30	119	20	-1	//Valkyrie
47	7	30	124	14	-1	//Valkyrie
47	7	30	133	14	-1	//Valkyrie
47	7	30	150	14	-1	//Valkyrie
47	7	30	161	11	-1	//Valkyrie
47	7	30	166	16	-1	//Valkyrie
47	7	30	171	18	-1	//Valkyrie
47	7	30	182	14	-1	//Valkyrie
47	7	30	190	24	-1	//Valkyrie
47	7	30	196	27	-1	//Valkyrie
47	7	30	200	17	-1	//Valkyrie
47	7	30	208	9	-1	//Valkyrie
47	7	30	222	14	-1	//Valkyrie
47	7	30	117	74	-1	//Valkyrie
47	7	30	139	61	-1	//Valkyrie
47	7	30	152	61	-1	//Valkyrie
47	7	30	172	55	-1	//Valkyrie
47	7	30	189	56	-1	//Valkyrie
47	7	30	226	46	-1	//Valkyrie
47	7	30	240	11	-1	//Valkyrie
47	7	30	227	16	-1	//Valkyrie
47	7	30	152	22	-1	//Valkyrie
47	7	30	142	15	-1	//Valkyrie
47	7	30	128	22	-1	//Valkyrie
47	7	30	116	9	-1	//Valkyrie
47	7	30	113	27	-1	//Valkyrie
47	7	30	33	108	-1	//Valkyrie
47	7	30	35	118	-1	//Valkyrie
48	7	30	236	177	-1	//Lizard King
48	7	30	66	222	-1	//Lizard King
48	7	30	63	218	-1	//Lizard King
48	7	30	57	225	-1	//Lizard King
48	7	30	171	162	-1	//Lizard King
48	7	30	175	169	-1	//Lizard King
48	7	30	178	174	-1	//Lizard King
48	7	30	173	179	-1	//Lizard King
48	7	30	171	187	-1	//Lizard King
48	7	30	165	193	-1	//Lizard King
48	7	30	159	198	-1	//Lizard King
48	7	30	152	201	-1	//Lizard King
48	7	30	144	201	-1	//Lizard King
48	7	30	137	205	-1	//Lizard King
48	7	30	124	206	-1	//Lizard King
48	7	30	115	210	-1	//Lizard King
48	7	30	104	211	-1	//Lizard King
48	7	30	94	210	-1	//Lizard King
48	7	30	87	214	-1	//Lizard King
48	7	30	76	215	-1	//Lizard King
48	7	30	47	224	-1	//Lizard King
48	7	30	46	217	-1	//Lizard King
48	7	30	29	226	-1	//Lizard King
48	7	30	22	213	-1	//Lizard King
48	7	30	24	204	-1	//Lizard King
48	7	30	34	200	-1	//Lizard King
48	7	30	35	209	-1	//Lizard King
48	7	30	40	210	-1	//Lizard King
48	7	30	45	205	-1	//Lizard King
48	7	30	47	211	-1	//Lizard King
48	7	30	37	232	-1	//Lizard King
48	7	30	226	52	-1	//Lizard King
48	7	30	22	230	-1	//Lizard King
48	7	30	41	224	-1	//Lizard King
48	7	30	82	215	-1	//Lizard King
48	7	30	167	156	-1	//Lizard King
48	7	30	177	146	-1	//Lizard King
48	7	30	219	124	-1	//Lizard King
48	7	30	227	123	-1	//Lizard King
48	7	30	219	133	-1	//Lizard King
48	7	30	226	134	-1	//Lizard King
48	7	30	226	154	-1	//Lizard King
48	7	30	221	150	-1	//Lizard King
48	7	30	220	168	-1	//Lizard King
48	7	30	232	166	-1	//Lizard King
48	7	30	231	176	-1	//Lizard King
48	7	30	217	197	-1	//Lizard King
48	7	30	215	182	-1	//Lizard King
48	7	30	222	190	-1	//Lizard King
48	7	30	229	190	-1	//Lizard King
48	7	30	232	206	-1	//Lizard King
48	7	30	231	196	-1	//Lizard King
48	7	30	223	202	-1	//Lizard King
48	7	30	224	184	-1	//Lizard King
48	7	30	230	171	-1	//Lizard King
48	7	30	221	158	-1	//Lizard King
48	7	30	233	124	-1	//Lizard King
48	7	30	232	102	-1	//Lizard King
48	7	30	15	234	-1	//Lizard King
48	7	30	20	237	-1	//Lizard King
48	7	30	34	237	-1	//Lizard King
48	7	30	47	231	-1	//Lizard King
48	7	30	54	232	-1	//Lizard King
48	7	30	20	218	-1	//Lizard King
48	7	30	34	176	-1	//Lizard King
49	7	30	19	230	-1	//Hydra
49	7	30	24	227	-1	//Hydra
49	7	30	211	192	-1	//Hydra
49	7	30	229	203	-1	//Hydra
51	7	30	212	96	-1	//Great Bahamut
51	7	30	228	16	-1	//Great Bahamut
51	7	30	237	17	-1	//Great Bahamut
51	7	30	237	26	-1	//Great Bahamut
51	7	30	238	40	-1	//Great Bahamut
51	7	30	235	48	-1	//Great Bahamut
51	7	30	206	55	-1	//Great Bahamut
51	7	30	200	49	-1	//Great Bahamut
51	7	30	193	52	-1	//Great Bahamut
51	7	30	184	52	-1	//Great Bahamut
51	7	30	178	58	-1	//Great Bahamut
51	7	30	170	61	-1	//Great Bahamut
51	7	30	156	59	-1	//Great Bahamut
51	7	30	144	63	-1	//Great Bahamut
51	7	30	133	61	-1	//Great Bahamut
51	7	30	133	70	-1	//Great Bahamut
51	7	30	125	78	-1	//Great Bahamut
51	7	30	118	85	-1	//Great Bahamut
51	7	30	124	90	-1	//Great Bahamut
51	7	30	116	98	-1	//Great Bahamut
51	7	30	106	101	-1	//Great Bahamut
51	7	30	99	108	-1	//Great Bahamut
51	7	30	91	115	-1	//Great Bahamut
51	7	30	81	123	-1	//Great Bahamut
51	7	30	126	167	-1	//Great Bahamut
51	7	30	111	174	-1	//Great Bahamut
51	7	30	90	177	-1	//Great Bahamut
51	7	30	76	180	-1	//Great Bahamut
51	7	30	62	178	-1	//Great Bahamut
51	7	30	42	178	-1	//Great Bahamut
51	7	30	27	161	-1	//Great Bahamut
51	7	30	42	152	-1	//Great Bahamut
51	7	30	19	159	-1	//Great Bahamut
51	7	30	62	140	-1	//Great Bahamut
51	7	30	70	133	-1	//Great Bahamut
51	7	30	168	54	-1	//Great Bahamut
51	7	30	225	45	-1	//Great Bahamut
51	7	30	207	9	-1	//Great Bahamut
51	7	30	154	69	-1	//Great Bahamut
51	7	30	111	82	-1	//Great Bahamut
51	7	30	81	116	-1	//Great Bahamut
51	7	30	72	125	-1	//Great Bahamut
51	7	30	122	66	-1	//Great Bahamut
51	7	30	219	56	-1	//Great Bahamut
51	7	30	215	65	-1	//Great Bahamut
51	7	30	232	55	-1	//Great Bahamut
51	7	30	231	64	-1	//Great Bahamut
51	7	30	238	71	-1	//Great Bahamut
51	7	30	229	74	-1	//Great Bahamut
51	7	30	217	75	-1	//Great Bahamut
51	7	30	225	81	-1	//Great Bahamut
51	7	30	215	86	-1	//Great Bahamut
51	7	30	223	89	-1	//Great Bahamut
51	7	30	218	101	-1	//Great Bahamut
51	7	30	232	95	-1	//Great Bahamut
51	7	30	225	117	-1	//Great Bahamut
51	7	30	136	129	-1	//Great Bahamut
51	7	30	83	155	-1	//Great Bahamut
51	7	30	65	187	-1	//Great Bahamut
51	7	30	64	159	-1	//Great Bahamut
51	7	30	186	99	-1	//Great Bahamut
51	7	30	185	90	-1	//Great Bahamut
51	7	30	147	114	-1	//Great Bahamut
51	7	30	84	170	-1	//Great Bahamut
52	7	30	156	156	-1	//Silver Valkyrie
52	7	30	162	149	-1	//Silver Valkyrie
52	7	30	152	169	-1	//Silver Valkyrie
52	7	30	72	128	-1	//Silver Valkyrie
52	7	30	70	138	-1	//Silver Valkyrie
52	7	30	61	147	-1	//Silver Valkyrie
52	7	30	49	158	-1	//Silver Valkyrie
52	7	30	33	169	-1	//Silver Valkyrie
52	7	30	22	173	-1	//Silver Valkyrie
52	7	30	55	181	-1	//Silver Valkyrie
52	7	30	67	186	-1	//Silver Valkyrie
52	7	30	73	180	-1	//Silver Valkyrie
52	7	30	89	184	-1	//Silver Valkyrie
52	7	30	101	183	-1	//Silver Valkyrie
52	7	30	111	183	-1	//Silver Valkyrie
52	7	30	122	178	-1	//Silver Valkyrie
52	7	30	129	171	-1	//Silver Valkyrie
52	7	30	138	167	-1	//Silver Valkyrie
52	7	30	147	164	-1	//Silver Valkyrie
52	7	30	170	145	-1	//Silver Valkyrie
52	7	30	163	138	-1	//Silver Valkyrie
52	7	30	53	220	-1	//Silver Valkyrie
52	7	30	41	222	-1	//Silver Valkyrie
52	7	30	29	231	-1	//Silver Valkyrie
52	7	30	22	232	-1	//Silver Valkyrie
52	7	30	27	209	-1	//Silver Valkyrie
52	7	30	36	205	-1	//Silver Valkyrie
52	7	30	109	211	-1	//Silver Valkyrie
52	7	30	131	207	-1	//Silver Valkyrie
52	7	30	155	196	-1	//Silver Valkyrie
52	7	30	167	154	-1	//Silver Valkyrie
52	7	30	177	19	-1	//Silver Valkyrie
52	7	30	118	167	-1	//Silver Valkyrie
52	7	30	111	175	-1	//Silver Valkyrie
52	7	30	63	178	-1	//Silver Valkyrie
52	7	30	162	141	-1	//Silver Valkyrie
52	7	30	138	176	-1	//Silver Valkyrie
52	7	30	223	70	-1	//Silver Valkyrie
52	7	30	211	59	-1	//Silver Valkyrie
52	7	30	232	86	-1	//Silver Valkyrie
52	7	30	208	104	-1	//Silver Valkyrie
52	7	30	235	106	-1	//Silver Valkyrie
52	7	30	224	108	-1	//Silver Valkyrie
52	7	30	224	142	-1	//Silver Valkyrie
52	7	30	208	183	-1	//Silver Valkyrie
52	7	30	215	174	-1	//Silver Valkyrie
52	7	30	230	181	-1	//Silver Valkyrie
52	7	30	226	161	-1	//Silver Valkyrie
52	30	30	90	90	-1	//Silver Valkyrie
52	7	30	200	103	-1	//Silver Valkyrie
52	7	30	192	101	-1	//Silver Valkyrie
52	7	30	179	92	-1	//Silver Valkyrie
52	7	30	187	94	-1	//Silver Valkyrie
52	7	30	177	101	-1	//Silver Valkyrie
52	7	30	166	117	-1	//Silver Valkyrie
52	7	30	159	112	-1	//Silver Valkyrie
52	7	30	156	122	-1	//Silver Valkyrie
52	7	30	173	109	-1	//Silver Valkyrie
52	7	30	167	107	-1	//Silver Valkyrie
52	7	30	150	120	-1	//Silver Valkyrie
52	7	30	142	125	-1	//Silver Valkyrie
52	7	30	129	130	-1	//Silver Valkyrie
52	7	30	117	130	-1	//Silver Valkyrie
52	7	30	121	135	-1	//Silver Valkyrie
52	7	30	144	109	-1	//Silver Valkyrie
52	7	30	122	144	-1	//Silver Valkyrie
52	7	30	112	137	-1	//Silver Valkyrie
52	7	30	101	147	-1	//Silver Valkyrie
52	7	30	97	142	-1	//Silver Valkyrie
52	7	30	144	132	-1	//Silver Valkyrie
